"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bolivia","BOL","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.491320528186661","0.510482392448294","0.419951502120037","","","","",
"Brazil","BRA","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.17532698825254","2.40254152783062","2.7321318102764","2.78525811474406","2.88571305498366","2.94905246785596","2.72049376481712","2.75244525481401","2.51587733886293","2.45072922308625","2.3776233967366","2.54527360485785","2.82576935946165","3.27809900484069","3.79559491375017","4.97960000667969","5.10297342678039","","",
"Barbados","BRB","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.82971943486014","5.55915286091063","4.96889837682653","4.51772378247607","4.94520252157931","4.93175277873116","5.27157903659906","5.46436468787209","","",
"Brunei Darussalam","BRN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65687499568522","1.61549789645169","1.53267241726252","1.89610157545194","2.48401730967852","2.57953568357696","2.33997125452549","2.36443383711114","0.995034275152168","","","","",
"Bhutan","BTN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0236765966312938","0.0231431123783251","0.0407470288624788","0.0266009917736433","0.0325992702110042","0.0469256250173305","0.148813266597919","0.0474256139555024","0.0487195883194787","0.0699711718771866","0.0945270790541778","0.1316803575509","0.0817555774415448","0.0934094059535419","0.077182330391829","0.0814494379988778","0.0713952961209151","","",
"Botswana","BWA","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95488948814189","6.09390548188938","7.0121145468341","9.1187560868009","9.53489168565273","9.93514369082586","12.8888379511571","11.9026775503766","14.532408574441","18.1018746280424","20.0905899671611","4.73096056649643","4.84841812830467","5.36685101221041","7.24595409406336","8.3421511067193","8.67933058456055","","",
"Central African Republic","CAF","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0399507974389436","0.0450105774857091","0.0511615095182919","0.0693388519947844","0.0359191694827433","0.0365373817312251","0.0583505072688665","0.10390400599817","0.108118561590657","0.136069939949134","0.12464107083481","0.127145002613114","","","","",
"Canada","CAN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.204167601264153","7.69299995965752","8.0175829316907","8.46492726205803","10.334084254641","9.83355736193315","","",
"Central Europe and the Baltics","CEB","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92556097338442","3.31614580182769","3.39082074570301","2.64498245430899","3.09338691865994","3.66998653043473","3.56753665083316","3.72883981401106","3.44851119314311","3.69877505409674","4.09453230358591","4.53966065822844","4.51776849879018","4.56934144905736","4.11855974645139","5.04694254821246","5.13085226583293","","",
"Switzerland","CHE","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.81977474491512","4.15614483225329","4.16733140457074","3.94332376905198","4.15793426598722","4.42279583228029","4.35715693664257","4.49909463972952","4.54310754351449","4.35121974682736","4.2953881573292","4.5619074185742","4.51819783175146","4.62686698218409","","","","","",
"Channel Islands","CHI","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70959638439924","4.2211175434696","5.25460513038812","6.10997554934956","6.91089100157836","7.90089874592007","8.3231100084525","10.1218009424212","12.8168930354193","10.8180967387068","","",
"China","CHN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.57916649444442","3.82491905415101","3.81285584862301","4.30268432703376","6.8906064426538","7.70635403904422","9.08159034538926","8.57801803149901","8.66926108411754","8.15325597869537","8.58374051702774","","","","",
